MONTH,CITY,STORE,STATUS,ZONE_MAPPING,ORDER_COUNT,CART_SALES,DISCOUNT,NET_REVENUE,IDEAL_FOOD_COST,GROSS_MARGIN,KITCHEN_EBITDA,VARIANCE,REVENUE_COHORT,CM_COHORT,EBITDA_CATEGORY,EBITDA_COHORT,GM_PERCENT,EBITDA_PERCENT,VARIANCE_PERCENT,REVENUE_BUCKET,VARIANCE_BUCKET,EBITDA_STATUS
2024-03-01,Hyderabad,Alvarado Group,Inactive,East,14933,5422271.4,900062.04,4686104.47,1896615.08,2710968.81,1352335.5,20294.84,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,57.8512243454103,28.8584155273858,1.0700558175462782,Above INR 45 lacs,Var <2%,High Profit
2023-10-01,Hyderabad,"Carson, Macias and Wiggins",Active,East,10659,5129608.62,1341471.01,3838629.37,1390482.93,2323528.48,968663.02,23915.9,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,10% to 20%,60.53015949284002,25.23460659084156,1.719970773032072,INR 35 to 45 lacs,Var <2%,High Profit
2023-11-01,Hyderabad,"Carson, Macias and Wiggins",Active,East,10004,3081899.97,613068.61,2518140.69,1116420.15,1295178.95,-49075.01,28763.62,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%,51.43393914181975,-1.9488589416344329,2.576415339690886,INR 25 to 35 lacs,Var 2-3%,Loss Making
2023-12-01,Hyderabad,"Carson, Macias and Wiggins",Active,East,9883,4207197.39,766859.93,3469933.06,1298472.1,2101112.16,733024.88,14850.89,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,60.55195082063053,21.12504383586005,1.1437203772033298,INR 25 to 35 lacs,Var <2%,High Profit
2024-01-01,Hyderabad,"Carson, Macias and Wiggins",Active,East,10099,3490883.46,554243.02,2996082.11,1216641.95,1714265.87,369312.89,21641.4,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,57.21691886475034,12.326527659817708,1.7787813415442402,INR 25 to 35 lacs,Var <2%,Moderate Profit
2024-02-01,Hyderabad,"Carson, Macias and Wiggins",Active,East,10438,4628966.48,1002330.95,3749718.54,1800544.11,1888059.34,521272.21,29465.22,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,50.35202828850189,13.90163566783335,1.6364619914810086,INR 35 to 45 lacs,Var <2%,Moderate Profit
2024-03-01,Hyderabad,"Carson, Macias and Wiggins",Active,East,14467,4998295.27,874340.55,4235372.83,1961470.75,2152934.95,1006985.99,25237.8,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,50.83224160929417,23.77561623069674,1.286677356774247,INR 35 to 45 lacs,Var <2%,High Profit
2023-10-01,Bangalore,"Reyes, Dunn and Goodman",Inactive,North,13752,5689015.25,1529201.35,4287794.66,2024305.86,2120388.94,656025.15,11486.69,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,49.45173703817244,15.29982664794867,0.5674384601149157,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-11-01,Bangalore,"Reyes, Dunn and Goodman",Inactive,North,9731,3088555.21,603759.94,2565619.34,1133797.76,1372689.01,-19511.57,19966.66,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,53.503221954976375,-0.7605013610475825,1.7610424631638009,INR 25 to 35 lacs,Var <2%,Loss Making
2023-12-01,Bangalore,"Reyes, Dunn and Goodman",Inactive,North,9775,3047943.03,581394.0,2568923.16,1137552.86,1291797.66,112296.34,11592.1,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,50.28557023869876,4.371339001046648,1.0190383592372139,INR 25 to 35 lacs,Var <2%,Low Profit
2024-01-01,Bangalore,"Reyes, Dunn and Goodman",Inactive,North,12851,6074491.84,1038237.17,5118312.17,1963075.34,3018530.81,1526325.66,17069.46,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,58.97512128495281,29.820878627651194,0.8695264849081135,Above INR 45 lacs,Var <2%,High Profit
2024-02-01,Bangalore,"Reyes, Dunn and Goodman",Inactive,North,12816,3967612.83,1159646.14,2914238.36,1197373.42,1626354.13,305005.75,11378.56,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,55.80717597856339,10.466053641542212,0.9502933512587911,INR 25 to 35 lacs,Var <2%,Moderate Profit
2024-03-01,Bangalore,"Reyes, Dunn and Goodman",Inactive,North,10164,3756253.27,912901.87,2898969.45,1247038.03,1565263.53,133960.42,24031.31,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,53.993791828334025,4.620966943960034,1.9270711415272554,INR 25 to 35 lacs,Var <2%,Low Profit
2023-10-01,Bangalore,Mcfarland Group,Inactive,North,10832,4934447.17,907326.14,4108574.16,1991416.64,1981978.49,730800.81,10541.62,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,48.24005635083875,17.787212340351186,0.5293528128799808,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-11-01,Bangalore,Mcfarland Group,Inactive,North,14404,5738558.58,1127829.29,4669592.97,2231771.5,2317059.41,885189.09,20908.56,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,49.62015800704789,18.95645071608886,0.9368593514165765,Above INR 45 lacs,Var <2%,Moderate Profit
2023-12-01,Bangalore,Mcfarland Group,Inactive,North,11777,4550657.67,1364548.49,3288734.13,1123435.27,2071731.65,675004.04,27164.14,More than 40 lacs,0% to 10%,EBITDA +ve,More than 20%,62.99480493426205,20.524737279385977,2.417953283592387,INR 25 to 35 lacs,Var 2-3%,High Profit
2024-01-01,Bangalore,Mcfarland Group,Inactive,North,8017,2951798.43,884508.88,2140805.61,962217.29,1031028.13,-408424.18,19380.5,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,48.1607543059456,-19.07806005796108,2.014150047127089,INR 15 to 25 lacs,Var 2-3%,Loss Making
2024-02-01,Bangalore,Mcfarland Group,Inactive,North,11284,5522119.23,1056246.21,4604834.7,2058616.56,2426264.71,1182004.31,28753.23,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%,52.689507182527095,25.668767436972278,1.396725867200835,Above INR 45 lacs,Var <2%,High Profit
2024-03-01,Bangalore,Mcfarland Group,Inactive,North,11551,4027094.39,936644.15,3213211.87,1446412.01,1682560.35,410138.24,21926.93,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,52.363815959636675,12.764120655386474,1.5159532587122255,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-10-01,Hyderabad,Jimenez LLC,Inactive,North,11311,5579849.59,1205866.07,4497972.01,1554262.26,2863128.4,1566085.04,10383.36,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,63.653762042863406,34.8175808234965,0.6680571398548917,INR 35 to 45 lacs,Var <2%,High Profit
2023-11-01,Hyderabad,Jimenez LLC,Inactive,North,13906,6836109.13,1059689.45,5832274.74,2783801.0,2984049.74,1539957.64,17090.96,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,51.1644233687112,26.404065457314168,0.6139433098845787,Above INR 45 lacs,Var <2%,High Profit
2023-12-01,Hyderabad,Jimenez LLC,Inactive,North,14382,6710739.76,1467442.43,5354165.45,1799503.87,3436264.07,2113650.84,14736.99,More than 40 lacs,0% to 10%,EBITDA -ve,More than 20%,64.17926569676699,39.4767561768193,0.818947391316252,Above INR 45 lacs,Var <2%,High Profit
2024-01-01,Hyderabad,Jimenez LLC,Inactive,North,14633,5426105.35,1347698.69,4151296.72,1587600.98,2456746.01,966257.19,18755.3,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%,59.18020743166728,23.27603289219952,1.1813610747456202,INR 35 to 45 lacs,Var <2%,High Profit
2024-02-01,Hyderabad,Jimenez LLC,Inactive,North,12986,5385117.14,887207.41,4566456.18,2127721.93,2388364.01,1113572.88,13547.03,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,52.30235254332387,24.38593158688758,0.6366917504112015,Above INR 45 lacs,Var <2%,High Profit
2024-03-01,Hyderabad,Jimenez LLC,Inactive,North,11207,5602043.76,1017973.64,4718069.31,1495345.15,3076288.84,1870700.45,11132.51,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,65.20228165109341,39.649702602609715,0.7444776211030611,Above INR 45 lacs,Var <2%,High Profit
2023-10-01,Ahmedabad,Robbins PLC,Inactive,South,13719,6111751.61,1637801.88,4551649.59,1660820.7,2790825.5,1501608.48,22874.4,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,61.314594737948624,32.990423588385234,1.3772949722989365,Above INR 45 lacs,Var <2%,High Profit
2023-11-01,Ahmedabad,Robbins PLC,Inactive,South,10764,3738283.19,679343.3,3147635.63,1437513.83,1583885.68,446650.75,22560.61,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,50.31985484291903,14.190039842699328,1.5694186399584067,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-12-01,Ahmedabad,Robbins PLC,Inactive,South,10012,4161424.49,997264.01,3214145.94,1519482.96,1593924.0,263893.69,22741.72,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,49.59090314362017,8.210382942350154,1.4966748952551598,INR 25 to 35 lacs,Var <2%,Low Profit
2024-01-01,Ahmedabad,Robbins PLC,Inactive,South,12682,4132761.0,852891.04,3371883.27,1245173.77,2005667.32,712380.72,27849.38,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%,59.48211012654659,21.12708723751282,2.2365858220736534,INR 25 to 35 lacs,Var 2-3%,High Profit
2024-02-01,Ahmedabad,Robbins PLC,Inactive,South,7332,2946229.24,452836.89,2648409.33,1059663.32,1518066.24,138031.61,22474.87,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,57.31992493773611,5.211868438780948,2.120944414684468,INR 25 to 35 lacs,Var 2-3%,Low Profit
2024-03-01,Ahmedabad,Robbins PLC,Inactive,South,12268,5670110.59,1191026.54,4590380.59,1415511.09,3042316.02,1688023.62,21337.17,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,66.27589935848872,36.773064605521085,1.5073827503534427,Above INR 45 lacs,Var <2%,High Profit
2023-10-01,Mumbai,Berger Inc,Active,West,9786,3032706.12,727557.69,2426183.17,743326.97,1611837.0,259865.74,24700.52,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,66.43509113122732,10.71088709266745,3.322968356711179,INR 15 to 25 lacs,Var 3-5%,Moderate Profit
2023-11-01,Mumbai,Berger Inc,Active,West,14328,4678007.91,1085472.45,3715047.31,1138816.57,2438754.13,1167608.79,13217.21,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,65.64530479693944,31.429176873658708,1.160609210313826,INR 35 to 45 lacs,Var <2%,High Profit
2023-12-01,Mumbai,Berger Inc,Active,West,12660,5719454.12,948682.87,4876996.95,1800175.64,2977523.04,1566578.98,13377.19,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,61.0523867561574,32.121795360154984,0.7431047117157968,Above INR 45 lacs,Var <2%,High Profit
2024-01-01,Mumbai,Berger Inc,Active,West,8788,3422663.32,621449.39,2842981.4,1014709.49,1759828.39,386173.82,26418.38,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,61.90080561202406,13.583410007536456,2.6035412362212162,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2024-02-01,Mumbai,Berger Inc,Active,West,14710,5352160.83,1530111.87,3886935.25,1889179.23,1855427.42,488051.64,15693.49,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,47.73497114468269,12.556207104298947,0.8307041359966677,INR 35 to 45 lacs,Var <2%,Moderate Profit
2024-03-01,Mumbai,Berger Inc,Active,West,8636,2937471.22,828435.06,2211665.18,986428.01,1128104.99,-223623.68,29912.38,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,51.007042123799216,-10.111100089752282,3.03239361583011,INR 15 to 25 lacs,Var 3-5%,Loss Making
2023-10-01,Bangalore,"Robles, Contreras and Rojas",Inactive,West,11655,5445399.92,943240.77,4572216.54,2232970.81,2275027.59,1058699.66,25760.7,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%,49.757651898087914,23.15506386755689,1.1536514442837702,Above INR 45 lacs,Var <2%,High Profit
2023-11-01,Bangalore,"Robles, Contreras and Rojas",Inactive,West,13514,4296971.25,810084.38,3607807.03,1141836.72,2406607.02,986088.85,12096.71,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%,66.70553607741044,27.33208405550449,1.0594080386554743,INR 35 to 45 lacs,Var <2%,High Profit
2023-12-01,Bangalore,"Robles, Contreras and Rojas",Inactive,West,8377,2770127.94,567828.24,2298737.38,704480.21,1532119.98,80684.5,24810.19,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,66.65050098067314,3.5099485788150364,3.5217724568870428,INR 15 to 25 lacs,Var 3-5%,Low Profit
2024-01-01,Bangalore,"Robles, Contreras and Rojas",Inactive,West,12423,4758395.79,834529.63,4033570.01,1431028.49,2513678.43,1082298.27,23288.48,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,62.31894881626216,26.832266883102896,1.6273945740940492,INR 35 to 45 lacs,Var <2%,High Profit
2024-02-01,Bangalore,"Robles, Contreras and Rojas",Inactive,West,12468,5110413.34,1219497.63,4003848.34,1598042.35,2284445.25,887854.89,25658.47,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,57.05623829897613,22.175037978586374,1.6056188998996177,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Bangalore,"Robles, Contreras and Rojas",Inactive,West,12127,3690731.41,903041.56,2837636.62,1303010.75,1436240.87,146546.73,27429.77,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,10% to 20%,50.61398136312464,5.164393811636107,2.1051069609364315,INR 25 to 35 lacs,Var 2-3%,Low Profit
2023-10-01,Bangalore,Hayes Group,Active,North,7688,2364161.83,608954.22,1837261.83,680466.83,1082048.7,-394331.65,19164.1,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,58.8946377882351,-21.46300780656832,2.816316557267016,INR 15 to 25 lacs,Var 2-3%,Loss Making
2023-11-01,Bangalore,Hayes Group,Active,North,8004,2899360.54,525824.31,2460418.94,1000291.37,1404116.71,-8580.44,20167.11,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%,57.06819628042694,-0.3487389834513305,2.0161235620777176,INR 15 to 25 lacs,Var 2-3%,Loss Making
2023-12-01,Bangalore,Hayes Group,Active,North,11157,5004217.95,960634.9,4177803.56,1433099.5,2661751.02,1247545.39,13983.14,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,63.71173229600101,29.861274521006916,0.975727086639832,INR 35 to 45 lacs,Var <2%,High Profit
2024-01-01,Bangalore,Hayes Group,Active,North,11009,5253323.31,1398640.97,3944689.88,1597661.12,2224015.74,877096.73,23136.3,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,56.37998949615781,22.234871604152566,1.4481356346707617,INR 35 to 45 lacs,Var <2%,High Profit
2024-02-01,Bangalore,Hayes Group,Active,North,8357,3502045.71,808549.05,2804283.85,1029490.42,1634128.1,296689.93,26477.93,More than 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,58.27256395603463,10.579882275469368,2.571945254235586,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2024-03-01,Bangalore,Hayes Group,Active,North,14013,6436035.73,1493542.9,5045212.62,2095877.43,2858753.98,1592506.25,29259.16,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,56.662705723589504,31.564700438729975,1.396033927422941,Above INR 45 lacs,Var <2%,High Profit
2023-10-01,Hyderabad,"Gibbs, Mcdowell and Clark",Inactive,South,9374,2962302.87,655166.53,2458422.3,1006209.64,1323927.8,-125059.06,17307.34,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,53.85274124791335,-5.086964107020995,1.7200530895331116,INR 15 to 25 lacs,Var <2%,Loss Making
2023-11-01,Hyderabad,"Gibbs, Mcdowell and Clark",Inactive,South,14244,6718522.77,1242191.57,5618423.94,1706452.59,3799630.18,2392819.64,21079.4,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,67.62804339040318,42.58880542930336,1.235276041275779,Above INR 45 lacs,Var <2%,High Profit
2023-12-01,Hyderabad,"Gibbs, Mcdowell and Clark",Inactive,South,10949,4937851.28,1448154.63,3569126.25,1527403.82,1953076.17,634644.54,18206.07,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,54.721408916257865,17.78150997040242,1.1919617956697266,INR 35 to 45 lacs,Var <2%,Moderate Profit
2024-01-01,Hyderabad,"Gibbs, Mcdowell and Clark",Inactive,South,14258,6327755.84,1221560.74,5216695.26,1925088.75,3238694.13,1822210.61,23456.52,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,62.08325325869236,34.93036336571441,1.2184643435270193,Above INR 45 lacs,Var <2%,High Profit
2024-02-01,Hyderabad,"Gibbs, Mcdowell and Clark",Inactive,South,7433,3312879.08,596154.12,2772447.01,1103100.36,1602178.83,171924.0,19891.94,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,57.789340038639736,6.201164508460705,1.8032756330530069,INR 25 to 35 lacs,Var <2%,Low Profit
2024-03-01,Hyderabad,"Gibbs, Mcdowell and Clark",Inactive,South,10394,3306323.73,742697.51,2668685.35,986115.33,1589678.12,270419.04,22927.3,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,59.56783627564036,10.133043222948707,2.325012024709118,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2023-10-01,Mumbai,Eaton-Bryant,Active,South,10363,3619481.38,577263.89,3114082.92,1304378.3,1673264.32,420455.67,15894.03,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,53.73216972655308,13.501749336848102,1.2185138314551844,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-11-01,Mumbai,Eaton-Bryant,Active,South,7669,2338829.53,352197.59,2088621.73,682886.48,1305915.38,114222.69,20993.69,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,62.525222314909065,5.468806934226429,3.0742576716411194,INR 15 to 25 lacs,Var 3-5%,Low Profit
2023-12-01,Mumbai,Eaton-Bryant,Active,South,10649,4914005.86,1075896.59,3911041.19,1148121.08,2619075.35,1311056.34,26737.27,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,66.96619193621942,33.521926165139675,2.3287848699720763,INR 35 to 45 lacs,Var 2-3%,High Profit
2024-01-01,Mumbai,Eaton-Bryant,Active,South,8185,4091202.35,789712.5,3401176.67,1628347.69,1634699.23,269596.17,27494.94,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,48.06275558746556,7.926555899843921,1.68851776367245,INR 25 to 35 lacs,Var <2%,Low Profit
2024-02-01,Mumbai,Eaton-Bryant,Active,South,9152,4468399.38,1247943.74,3267051.58,1127022.42,1990209.65,727437.04,26150.73,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,60.91760724512344,22.265857216738524,2.320338046158833,INR 25 to 35 lacs,Var 2-3%,High Profit
2024-03-01,Mumbai,Eaton-Bryant,Active,South,14297,4663341.53,864279.89,3890590.35,1860148.64,1899331.25,509427.86,12423.11,More than 40 lacs,0% to 10%,EBITDA -ve,More than 20%,48.818587389957415,13.093844742610846,0.667855768773403,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-10-01,Pune,Hamilton-Wilson,Inactive,West,12273,4944674.95,987198.38,4047227.61,1485479.16,2451504.34,1064603.02,18550.15,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,60.57243565799849,26.304500823466164,1.248765415194381,INR 35 to 45 lacs,Var <2%,High Profit
2023-11-01,Pune,Hamilton-Wilson,Inactive,West,9846,4174706.63,839255.67,3395739.05,1501694.06,1811876.35,330670.76,18435.48,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%,53.357349411168684,9.737814217497071,1.2276455298757725,INR 25 to 35 lacs,Var <2%,Low Profit
2023-12-01,Pune,Hamilton-Wilson,Inactive,West,11030,4810330.45,1341246.34,3541456.08,1294486.32,2190000.69,785888.38,15635.83,More than 40 lacs,More than 30%,EBITDA -ve,More than 20%,61.83899053182667,22.191109031062727,1.2078791222760854,INR 35 to 45 lacs,Var <2%,High Profit
2024-01-01,Pune,Hamilton-Wilson,Inactive,West,7815,3341912.67,661981.05,2800878.55,1208639.93,1511235.22,127346.39,20815.31,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,53.95575684636522,4.546658761766018,1.7222093597387604,INR 25 to 35 lacs,Var <2%,Low Profit
2024-02-01,Pune,Hamilton-Wilson,Inactive,West,12108,4341475.64,895494.09,3586300.5,1505061.67,1946195.88,753995.59,19451.52,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%,54.26750714280635,21.02432827366251,1.2924068420399013,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Pune,Hamilton-Wilson,Inactive,West,8156,3147315.41,694316.32,2511345.6,1189963.58,1204678.33,-154570.59,13830.43,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,47.969436385020046,-6.154891226440518,1.1622565793148056,INR 25 to 35 lacs,Var <2%,Loss Making
2023-10-01,Ahmedabad,Caldwell-Mack,Active,North,9326,2837076.98,441062.82,2468757.55,1123526.22,1255049.98,-77379.96,20115.46,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,50.8373120722203,-3.134368540969121,1.790386342741516,INR 15 to 25 lacs,Var <2%,Loss Making
2023-11-01,Ahmedabad,Caldwell-Mack,Active,North,14880,4912218.2,1424038.38,3557991.93,1405190.32,2054421.92,605422.77,17300.95,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,57.74105058186571,17.015855626181818,1.231217562045261,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-12-01,Ahmedabad,Caldwell-Mack,Active,North,12083,3671893.83,1086675.85,2720049.57,773889.08,1855478.23,617713.11,15508.6,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,68.21486823124332,22.709626942570758,2.0039822761163655,INR 25 to 35 lacs,Var 2-3%,High Profit
2024-01-01,Ahmedabad,Caldwell-Mack,Active,North,10653,3215428.12,579451.87,2652623.27,1242561.17,1288028.76,-71143.54,15562.87,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,48.55679185834783,-2.682006932707033,1.2524832077281156,INR 25 to 35 lacs,Var <2%,Loss Making
2024-02-01,Ahmedabad,Caldwell-Mack,Active,North,14741,4930419.95,1295962.25,3729480.65,1225771.14,2380084.12,977243.15,20170.55,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,63.81811151104914,26.203196683699108,1.6455396396426827,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Ahmedabad,Caldwell-Mack,Active,North,11477,4503130.6,887860.27,3722438.56,1115179.16,2511434.07,1204286.98,14562.01,More than 40 lacs,0% to 10%,EBITDA -ve,More than 20%,67.46744182662883,32.352098243899555,1.3058000474112161,INR 35 to 45 lacs,Var <2%,High Profit
2023-10-01,Pune,"James, Foster and Velasquez",Inactive,South,12086,4765187.07,840424.48,4010636.15,1810198.69,2124133.84,787131.4,11425.17,More than 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,52.962516682048054,19.62609846819438,0.6311555777338453,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-11-01,Pune,"James, Foster and Velasquez",Inactive,South,9053,2982880.06,721106.34,2391576.21,732054.43,1520013.26,194391.34,28111.64,More than 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,63.556965220021155,8.128168326277171,3.840102436098911,INR 15 to 25 lacs,Var 3-5%,Low Profit
2023-12-01,Pune,"James, Foster and Velasquez",Inactive,South,12830,5388306.93,1370308.96,4091286.42,1552960.56,2395385.1,1010763.49,27912.88,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,58.54845772445333,24.705273262193167,1.7973978682369114,INR 35 to 45 lacs,Var <2%,High Profit
2024-01-01,Pune,"James, Foster and Velasquez",Inactive,South,11537,5685239.81,1399916.12,4358748.51,1801946.81,2501444.04,1163175.83,17282.42,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,57.389042617648066,26.686004648614155,0.9590971222951913,INR 35 to 45 lacs,Var <2%,High Profit
2024-02-01,Pune,"James, Foster and Velasquez",Inactive,South,12121,5579585.96,1364558.29,4270829.67,1664556.79,2541127.12,1227805.96,23231.82,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,59.49961287030209,28.748652015429123,1.395676022564541,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Pune,"James, Foster and Velasquez",Inactive,South,10614,3585703.62,846311.27,2816505.02,844293.26,1856788.18,495814.86,25209.29,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,65.9252572537577,17.603904714503223,2.985845226337588,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2023-10-01,Ahmedabad,"Guzman, Hernandez and Turner",Inactive,South,11217,3760123.78,968261.16,2877408.94,1237951.68,1503892.89,209496.73,21595.33,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,52.26552503864813,7.280742305610548,1.7444404615210831,INR 25 to 35 lacs,Var <2%,Low Profit
2023-11-01,Ahmedabad,"Guzman, Hernandez and Turner",Inactive,South,9289,3391262.08,556881.99,2919961.7,1145647.3,1718153.6,365376.52,15082.95,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,58.84164850518416,12.513058647310341,1.3165439311034033,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-12-01,Ahmedabad,"Guzman, Hernandez and Turner",Inactive,South,9580,3458069.93,875536.67,2637864.99,864468.2,1708548.47,325115.94,25506.64,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,64.77012570685051,12.324965122646402,2.9505585052174275,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2024-01-01,Ahmedabad,"Guzman, Hernandez and Turner",Inactive,South,13384,4374433.05,1079231.73,3357439.79,1334841.25,1945811.18,466261.54,16682.86,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,57.95520699419602,13.887413301907642,1.2498010531214856,INR 25 to 35 lacs,Var <2%,Moderate Profit
2024-02-01,Ahmedabad,"Guzman, Hernandez and Turner",Inactive,South,9844,3615032.32,709523.77,3015205.18,873125.79,2086658.22,574669.01,27341.6,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,69.20451828090849,19.059034980830063,3.13146173359511,INR 25 to 35 lacs,Var 3-5%,Moderate Profit
2024-03-01,Ahmedabad,"Guzman, Hernandez and Turner",Inactive,South,14804,6421244.64,1486079.69,5040512.23,1796125.85,3101341.52,1791719.36,21707.51,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,61.5283006663789,35.546374619152544,1.2085739983086372,Above INR 45 lacs,Var <2%,High Profit
2023-10-01,Pune,Kirby-Olson,Active,West,11503,5397127.67,1155664.58,4306032.76,1300334.47,2873024.05,1356146.1,15104.65,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,More than 20%,66.72090553254407,31.494096203764137,1.161597292733461,INR 35 to 45 lacs,Var <2%,High Profit
2023-11-01,Pune,Kirby-Olson,Active,West,7632,2577528.26,582997.23,2083188.34,789692.89,1151508.36,-55711.73,12403.19,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,55.276248329999774,-2.6743491661440464,1.5706346298749125,INR 15 to 25 lacs,Var <2%,Loss Making
